Model,Order,Seasonal_Order,Trend,Fit_Stage,Data_Start,Data_End,AIC,BIC,Parameters_JSON
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,full_data,1958-03,2021-12,367.54723886413143,395.17902638982065,"{""intercept"": 0.0018298833405824592, ""ar.L1"": 0.2181320731650327, ""ma.L1"": -0.5846653665670751, ""ar.S.L12"": -0.0005594695087825974, ""ma.S.L12"": -0.8815186800393343, ""sigma2"": 0.0929434706199578}"
"SARIMA(1,1,1)(1,1,1,12)","(1, 1, 1)","(1, 1, 1, 12)",c,training_data,1958-03,2011-12,280.7216202748019,307.2902519109095,"{""intercept"": 0.0017483583343239505, ""ar.L1"": 0.20730979780852604, ""ma.L1"": -0.5496551283307546, ""ar.S.L12"": -0.0005899350546202485, ""ma.S.L12"": -0.886652447277848, ""sigma2"": 0.08816870762826214}"
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,full_data,1958-03,2021-12,422.30663041700933,449.93029336461217,"{""intercept"": -9.315183260657284e-07, ""ar.L1"": -0.4488720676345739, ""ma.L1"": -1.000993961501507, ""ar.S.L12"": -0.06012280380428182, ""ma.S.L12"": -0.8603891408875782, ""sigma2"": 0.09791392898902739}"
"SARIMA(1,2,1)(1,1,1,12)","(1, 2, 1)","(1, 1, 1, 12)",c,training_data,1958-03,2011-12,342.40132810212884,368.960258846875,"{""intercept"": -3.749430524221267e-06, ""ar.L1"": -0.5139234920756607, ""ma.L1"": -0.9996408279853474, ""ar.S.L12"": -0.11395857057842157, ""ma.S.L12"": -0.8294592981618623, ""sigma2"": 0.09691639795831386}"
"SARIMA(2,1,1)(1,1,1,12)","(2, 1, 1)","(1, 1, 1, 12)",c,full_data,1958-03,2021-12,445.4446097557921,477.6816952024295,"{""intercept"": 0.00032811396932364874, ""ar.L1"": 0.6730693192502694, ""ar.L2"": 0.20236645027811204, ""ma.L1"": -0.9984743896831377, ""ar.S.L12"": -0.13286407581212487, ""ma.S.L12"": -0.5883310815525664, ""sigma2"": 0.10336831367542927}"
"SARIMA(2,1,1)(1,1,1,12)","(2, 1, 1)","(1, 1, 1, 12)",c,training_data,1958-03,2011-12,281.57175120272507,312.56848811151724,"{""intercept"": 0.0008791862882587575, ""ar.L1"": 0.452840235521437, ""ar.L2"": 0.1406760535022406, ""ma.L1"": -1.239393302352557, ""ar.S.L12"": -0.01233856051893946, ""ma.S.L12"": -0.8950482292293418, ""sigma2"": 0.057009136348512034}"
"SARIMA(1,1,1)(2,1,2,12)","(1, 1, 1)","(2, 1, 2, 12)",c,full_data,1958-03,2021-12,365.21423493103475,401.9256467513029,"{""intercept"": 0.002611598958470365, ""ar.L1"": 0.21881092747305753, ""ma.L1"": -0.5878496625352758, ""ar.S.L12"": -0.3618492713754922, ""ar.S.L24"": -0.034327566402504416, ""ma.S.L12"": -0.5190126155717136, ""ma.S.L24"": -0.31531272513907216, ""sigma2"": 0.09315744272238527}"
"SARIMA(1,1,1)(2,1,2,12)","(1, 1, 1)","(2, 1, 2, 12)",c,training_data,1958-03,2011-12,278.09837548647727,313.36660581495323,"{""intercept"": 0.002448295383025209, ""ar.L1"": 0.19773822027079682, ""ma.L1"": -0.549659096429745, ""ar.S.L12"": -0.3607912509274994, ""ar.S.L24"": -0.044778388593548116, ""ma.S.L12"": -0.5325655148774209, ""ma.S.L24"": -0.309963841104964, ""sigma2"": 0.08829974940274118}"
"SARIMA(1,1,1)(5,1,5,12)","(1, 1, 1)","(5, 1, 5, 12)",c,full_data,1958-03,2021-12,346.39831644489345,409.9322739776408,"{""intercept"": 0.00586393502275587, ""ar.L1"": 0.17125923660353765, ""ma.L1"": -0.5352268343472405, ""ar.S.L12"": -0.5642100422004956, ""ar.S.L24"": -0.7999319107882771, ""ar.S.L36"": -0.30419468156515883, ""ar.S.L48"": -0.017569097288298134, ""ar.S.L60"": -0.045063732751187545, ""ma.S.L12"": -0.29727655199697833, ""ma.S.L24"": 0.31241618167250673, ""ma.S.L36"": -0.4053186861792605, ""ma.S.L48"": -0.27688768599794544, ""ma.S.L60"": -0.011455988539903752, ""sigma2"": 0.09037383877624841}"
"SARIMA(1,1,1)(5,1,5,12)","(1, 1, 1)","(5, 1, 5, 12)",c,training_data,1958-03,2011-12,259.93907205815515,320.8025209933393,"{""intercept"": 0.004819400110742319, ""ar.L1"": 0.20276823479801767, ""ma.L1"": -0.5320565130464506, ""ar.S.L12"": -0.543732659634518, ""ar.S.L24"": -0.7593475287384747, ""ar.S.L36"": -0.25397722533001926, ""ar.S.L48"": -0.01112046825636831, ""ar.S.L60"": -0.030463984326704645, ""ma.S.L12"": -0.3345929262290205, ""ma.S.L24"": 0.27871066247357146, ""ma.S.L36"": -0.43984870293386163, ""ma.S.L48"": -0.2378459152510877, ""ma.S.L60"": 0.008577523100251613, ""sigma2"": 0.08519889202533425}"
