Start_Year,End_Year,Ten_Year_Increase_ppm,Is_2004_Window,Is_Previous_Max
1959,1969,8.639999999999986,False,False
1960,1970,8.769999999999982,False,False
1961,1971,8.680000000000007,False,False
1962,1972,9.009999999999991,False,False
1963,1973,10.689999999999998,False,False
1964,1974,10.569999999999993,False,False
1965,1975,11.089999999999975,False,False
1966,1976,10.659999999999968,False,False
1967,1977,11.659999999999968,False,False
1968,1978,12.360000000000014,False,False
1969,1979,12.21999999999997,False,False
1970,1980,13.079999999999984,False,False
1971,1981,13.800000000000011,False,False
1972,1982,14.020000000000039,False,False
1973,1983,13.46999999999997,False,False
1974,1984,14.680000000000007,False,False
1975,1985,15.220000000000027,False,False
1976,1986,15.580000000000041,False,False
1977,1987,15.470000000000027,False,False
1978,1988,16.279999999999973,False,False
1979,1989,16.360000000000014,False,False
1980,1990,15.689999999999998,False,False
1981,1991,15.579999999999984,False,False
1982,1992,15.060000000000002,False,False
1983,1993,14.060000000000002,False,False
1984,1994,14.089999999999975,False,False
1985,1995,14.620000000000005,False,False
1986,1996,15.129999999999995,False,False
1987,1997,14.569999999999993,False,False
1988,1998,15.149999999999977,False,False
1989,1999,15.340000000000032,False,False
1990,2000,15.259999999999991,False,False
1991,2001,15.620000000000005,False,False
1992,2002,16.909999999999968,False,False
1993,2003,18.77000000000004,False,True
1994,2004,18.74000000000001,True,False
