Year,Observed_CO2,Quadratic_Full_Fitted_CO2,Quadratic_Train_Fitted_Or_Test_Forecast_CO2,SARIMA_Full_Fitted_CO2,SARIMA_Train_Fitted_Or_Test_Forecast_CO2
1959,315.98,315.5215086996337,315.136091099676,,
1960,316.91,316.3402490251684,316.00847971734765,320.772142313252,320.80071033188534
1961,317.64,317.18506462194165,316.90456446993625,318.06984396863015,318.19803126572
1962,318.45,318.0559554899534,317.8243453574419,318.4876637161602,318.48630161918425
1963,318.99,318.95292162920373,318.7678223798646,319.0459016572781,319.04117072487935
1964,319.62,319.87596303969264,319.7349955372042,319.66664575283534,319.66566045132987
1965,320.04,320.82507972142,320.7258648294609,320.039955448998,320.03800379945073
1966,321.37,321.800271674386,321.7404302566345,321.286748786282,321.28948799371176
1967,322.18,322.8015388985905,322.7786918187252,322.17771244014165,322.17471470039044
1968,323.05,323.82888139403354,323.8406495157328,323.05516145847923,323.054099687054
1969,324.62,324.88229916071515,324.9263033476575,324.55130292495716,324.5565111151166
1970,325.68,325.9617921986353,326.03565331449914,325.68292550564814,325.6797908279985
1971,326.32,327.0673605077939,327.16869941625777,326.3672254877161,326.3602966499698
1972,327.46,328.19900408819115,328.3254416529334,327.3874410005186,327.38766156448634
1973,329.68,329.35672293982697,329.5058800245261,329.6154435326845,329.62473496253233
1974,330.19,330.54051706270127,330.7100145310357,330.3013866473873,330.2866393965368
1975,331.13,331.7503864568141,331.9378451724624,331.135682209157,331.13207075131623
1976,332.03,332.9863311221655,333.18937194880607,332.09878613289067,332.09194696462663
1977,333.84,334.2483510587555,334.4645948600667,333.69359527259394,333.700899900648
1978,335.41,335.53644626658394,335.7635139062444,335.4179550989806,335.41523799090766
1979,336.84,336.850616745651,337.08612908733903,336.7676469501634,336.76465050871167
1980,338.76,338.1908624959566,338.43244040335065,338.7168051745424,338.7190710475006
1981,340.12,339.5571835175007,339.8024478542793,340.1365281831761,340.12800512389146
1982,341.48,340.9495798102833,341.196151440125,341.552509359027,341.5481649885994
1983,343.15,342.36805137430457,342.61355116088765,343.0232446474045,343.02528907137906
1984,344.87,343.8125982095643,344.0546470165673,344.8671138720165,344.86124490122916
1985,346.35,345.2832203160626,345.51943900716395,346.3992846072383,346.3936893272112
1986,347.61,346.77991769379946,347.0079271326776,347.64177431714853,347.6369135174266
1987,349.31,348.3026903427749,348.52011139310827,349.2874746912659,349.28553941039235
1988,351.69,349.8515382629888,350.0559917884559,351.5799126974204,351.58333568519157
1989,353.2,351.4264614544413,351.6155683187206,353.2926929077582,353.28279954045047
1990,354.45,353.0274599171323,353.19884098390224,354.49690659624144,354.48875830126764
1991,355.7,354.6545336510619,354.8058097840009,355.8498339248761,355.8414828885412
1992,356.54,356.30768265623,356.4364747190166,356.7135766883868,356.70380996385376
1993,357.21,357.98690693263666,358.0908357889492,357.285045517958,357.2773266337167
1994,358.96,359.69220648028187,359.7688929937989,358.88780446234176,358.89012629525774
1995,360.97,361.4235812991656,361.4706463335656,360.9304146020625,360.932241844645
1996,362.74,363.1810313892879,363.19609580824925,362.7587376537777,362.7553514101855
1997,363.88,364.9645567506488,364.9452414178499,363.8742014609666,363.86565358705406
1998,366.84,366.77415738324817,366.7180831623676,366.63332666321736,366.64674087905615
1999,368.54,368.6098332870861,368.51462104180223,368.6770299980241,368.6653254658044
2000,369.71,370.4715844621625,370.3348550561539,369.74228766109405,369.7351732309741
2001,371.32,372.3594109084776,372.17878520542257,371.3773025517352,371.37242808900595
2002,373.45,374.2733126260311,374.0464114896082,373.3507491538149,373.35256357276506
2003,375.98,376.2132896148232,375.93773390871087,375.92141778906654,375.92390212828303
2004,377.7,378.1793418748538,377.85275246273056,377.7816540220627,377.77128060640257
2005,379.98,380.17146940612304,379.7914671516672,379.8944275049943,379.8966715139289
2006,382.09,382.1896722086308,381.7538779755209,382.1326010328083,382.1281568699217
2007,384.02,384.23395028237707,383.7399849342916,384.0068982244367,384.00245228557054
2008,385.83,386.3043036273619,385.7497880279792,385.89666509348586,385.8914315327792
2009,387.64,388.40073224358525,387.7832872565839,387.6917433365184,387.684758564417
2010,390.1,390.5232361310472,389.8404826201056,390.04626260094034,390.0475730335717
2011,391.85,392.67181528974766,391.9213741185442,391.88642909221136,391.8795992808335
2012,394.06,394.8464697196866,394.0259617518999,394.0092791098754,394.0016527883376
2013,396.74,397.0471994208642,396.1542455201726,396.70174550158055,396.1702045216704
2014,398.81,399.2740043932803,398.3062254233623,398.8455730418675,398.3361404495336
2015,401.01,401.5268846369349,400.48190146146896,400.93889037406103,400.53903696837386
2016,404.41,403.80584015182814,402.6812736344926,404.31721355495574,402.76533645616206
2017,406.76,406.1108709379598,404.9043419424333,406.79805360130075,405.01815821705003
2018,408.72,408.4419769953301,407.151106385291,408.73114237576937,407.2969839218581
2019,411.66,410.79915832393897,409.4215669630656,411.62276203387154,409.6018609018061
2020,414.24,413.1824149237863,411.7157236757573,414.224996204608,411.9327952901495
2021,416.45,415.5917467948722,414.033576523366,416.4611761555879,414.2897827546478
